recipename,instructions,cuisine,course_type,dietary_preference
Kfc Biscuits (Copycat),"[""PREHEAT oven to 400\u00b0F; COMBINE 2 cups all-purpose flour, 1 1/2 teaspoons salt, 1 tablespoon sugar, 4 teaspoons baking powder and 1/4 teaspoon baking soda in a large mixing bowl; CUT in shortenings until mixture resembles coarse crumbs."", ""STIR in 1 cup buttermilk just until a soft dough forms (dough will be very loose and sticky at this point)."", ""SPRINKLE flour over a large wooden board; TURN dough onto a floured board and knead gently 10 to 12 times or until no longer sticky, re-flouring board as necessary while kneading."", ""DIVIDE dough in half; GENTLY pat or roll each half into an 8-inch circle 1/2-inch thick."", ""CUT out biscuits - pressing straight down - with a 2-inch biscuit cutter."", ""REFORM scraps, working it as little as possible and continue cutting."", ""PLACE cut biscuits on an ungreased baking sheet with edges barely touching; BRUSH tops of the biscuits with whole milk."", ""BAKE for 15 minutes, or until golden brown."", ""IMMEDIATELY brush biscuits with margarine (or butter) after baking."", ""SERVE hot and enjoy.""]",american,side,omnivorous
Red Snapper In Coconut Sauce,"[""Season snapper, if desired, with salt and pepper. Heat 1 tablespoon olive oil in large nonstick skillet over medium-high heat and cook snapper in batches until golden, turning once, about 4 minutes. Remove snapper and set aside."", """", ""Heat remaining 1 tablespoon olive oil over medium heat and cook onion, jalapeno and ginger, stirring occasionally, until onion is tender, about 5 minutes. Stir in tomato and cook 2 minutes. Stir in coconut milk and Knorr(R) Reduced Sodium Chicken flavor Bouillon. Return snapper to skillet and bring to a boil. Reduce heat and simmer covered 4 minutes or until fish flakes easily with fork. Stir in lime juice. Garnish with cilantro.""]",caribbean,main,omnivorous
Ployes: French Buckwheat Pancakes,"[""Mix dry ingredients."", ""Add cold water and let stand for 10 minutes."", ""Add boiling water and drop to make thin 6\"" pancakes on hot griddle, 400 degrees I use ungreased cast iron fry pan or non-stick electric griddle, ungreased."", ""Bake on one side only, until bubbles break and pancake is firm."", ""Serve on warm platter.""]",french,main,vegan
No Bake Cookies,"[""Mix together sugar, butter and milk."", ""Bring to a boil; remove from the heat."", ""Add oatmeal, peanut butter, cocoa and vanilla. Mix together."", ""Drop by spoonfuls onto waxed paper."", ""Let set at least 30 minutes.""]",american,dessert,vegetarian
Cauliflower With Garlic And Anchovies,"[""Separate the cauliflower into florets."", ""Bring a large pan of water to a boil and add a generous amount of salt and the bay leaf."", ""Add the cauliflower for 2-3 minutes to blanch, then drain and set aside."", ""Chop the celery stalks finely and set aside."", ""Chop the leaves (if using) separately and set aside."", ""Heat 3 Tbs of the oil in a large skillet."", ""Add the celery stalks and sautee for 1 minute."", ""Add the cauliflower and re-season with salt."", ""Cook for 2-3 minutes over medium-high heat, without stirring -- you want the cauliflower to brown."", ""If needed, added more oil (I generally don't), then the anchovies and cook for 2-3 minutes more."", ""Add the garlic, stir well, and cook for another 30 seconds -- you don't want the garlic to burn."", ""Remove from the heat and add the celery leaves, if you are using them."", ""Add the lemon juice and re-season with salt and pepper."", ""Add Tabasco if using, to taste."", ""May be served hot or at room temperature, either as a vegetarian entree or as a side dish -- Enjoy!""]",italian,side,omnivorous
Citrus Vinaigrette ,"[""Combine first 6 ingredients in a small jar; season vinaigrette to taste with salt and pepper. Shake to blend. DO AHEAD:""]",american,side,vegan
Saffron Soup,"[""Melt butter in a heavy-bottom soup kettle."", ""Add onions, garlic and saffron and cook over medium-low heat, stirring frequently, until onions are softened."", ""Do not let onions brown."", ""Bring chicken stock to a boil."", ""Add bread crumbs to onions and stir to mix thoroughly."", ""Add chicken stock and stir again."", ""Bring soup to a boil and immediately lower heat and simmer, covered, for 20 minutes."", ""Puree soup in a blender, food processor or fine-mesh food mill."", ""Strain soup, discarding solids."", ""Return to rinsed-out soup kettle."", ""Add cream and lemon juice."", ""Mix well and taste, adding salt and pepper if desired."", ""May be served immediately, or chilled and served as a summer soup.""]",persian,starter,omnivorous
"Date, Dried-Cherry and Chocolate Torte","[""Preheat oven to 375F."", ""Combine dates, cherries, and baking soda in a heatproof bowl, then stir in boiling water and brandy."", ""Whisk together flour, cocoa, and salt."", ""Beat together butter and sugar until pale and fluffy."", ""Add eggs 1 at a time, beating until just combined."", ""Beat in vanilla and zest."", ""Add half of flour mixture and beat at low speed until just combined."", ""Add date mixture with liquid and beat at low speed until just combined."", ""Add remaining flour mixture and beat until just combined."", ""Stir in chocolate and pecans."", ""Pour batter into a generously buttered 24-cm (9-inch) springform pan, smoothing top."", ""Bake in middle of oven until center is slightly rounded and top of torte is cracked (edges will be dark brown), about 55 minutes."", ""Let torte stand 5 minutes in pan on a rack."", ""Run a sharp small knife around side of pan to loosen, then remove side."", ""Cool torte on rack.""]",american,main,vegetarian
Cowboy Cookies,"[""Cream shortening and sugar."", ""Add eggs, flour, salt, soda, baking powder and then the rest of the ingredients."", ""Add oatmeal and chocolate or butterscotch chips last and gently stir in."", ""Drop by spoonfuls onto lightly greased cookie sheet."", ""Bake at 350\u00b0 for about 12 minutes.""]",american,dessert,omnivorous
"Peach, Plum, Pear.","[""Thinly slice fruit"", ""In small bowl combine with salt, sugar, cinnamon and butter."", ""Lightly toss."", ""Roll out dough, cut into strips 1 inch wide, then cut half way into thirds."", ""Place 1 slice each of fruit onto dough strip and fold dough over."", ""Repeat."", ""OPTIONAL: icing: over med low heat mix 1 cup powdered sugar with 1 tsp of vanilla and 1/2 cup of milk."", ""Whisk briskly until smooth and thickened."", ""Bake for 8-10 minutes at preheated oven temp instructed by pie crust box."", ""Let cool and drizzle with icing."", ""For shitz and giggles I garnished with a ridiculously small amount of parsely and tiny orange wedges for color."", ""To each their own.""]",american,dessert,vegan
Brine To Cure Ham Or Bacon,"[""Bring to boil and pour over meat."", ""Let stand in brine approximately 1 week for bacon and 2 weeks for ham.""]",western,main,omnivorous
Saté Chicken Salad ,"[""Pulse peanuts in a food processor until coarsely chopped, then transfer to a bowl."", ""With motor running, drop garlic and ginger through feed tube and finely chop. Add peanut butter, water, vinegar, soy sauce, sesame oil, sugar, and red-pepper flakes and blend until smooth."", ""Toss chicken and vegetables with enough dressing to coat, then sprinkle with peanuts and cilantro.""]",indonesian,main,omnivorous
Salmon India With Mango Salsa,"[""Season salmon with 1 teaspoon of cumin, 1/2 teaspoon of coriander, and 1/2 teaspoon masala and 1/4 teaspoon each salt and black pepper."", ""Drizzle with 1 tablespoon of lemon juice."", ""Cover loosely and let salmon stand 20 to 30 minutes."", ""Preheat broiler and broiler pan."", ""In a medium bowl, mix mango, jicama, bell pepper, chili pepper, 1 teaspoon of olive oil, 1 tablespoon of lemon juice, and remaining 1/2 teaspoon cumin, 1 teaspoon coriander and 1/4 teaspoon each salt and black pepper."", ""Mix gently and set aside until serving time."", ""Place salmon on preheated broiler pan and broil 3 to 4 inches from heat 3 to 4 minutes, without turning, or until fish is just opaque in thickest part."", ""In a small bowl or cup, whisk remaining 1 tablespoons lemon juice and 2 teaspoon olive oil."", ""To serve, divide watercress among four dinner plates and top with carrots."", ""Drizzle olive oil and lemon juice dressing over watercress and carrots."", ""Top greens with salmon and spoon salsa over salmon.""]",indian,main,omnivorous
Italian Marinade,"[""Combine all ingredients. Use to marinate poultry, beef, or lamb."", ""Place 1 (2-pound) flank steak and Italian Marinade in a large freezer bag. Seal; chill 2 hours. (Or freeze up to 6 months; thaw before grilling.) Grill, covered with grill lid, over medium-high heat (350\u00b0 to 400\u00b0) 8 minutes on each side or to desired degree of doneness. Cut into thin slices, and serve immediately."", ""Note: Other steak cuts may be used; grilling times will vary.""]",italian,side,omnivorous
Ann'S Peach Cobbler,"[""Mix sugar, flour and butter."", ""Put peaches in a 2-quart casserole dish, then put mixture over peaches."", ""Bake at 375\u00b0 until golden brown.""]",american,dessert,vegetarian
Barbecue Beer Bread,"[""Sift the flours and salt together in a bowl. Rub in the butter until the mixture looks like fine breadcrumbs."", ""Make a well in the centre, add the beer and milk and gradually mix together to make a soft dough."", ""Turn out on to a clean surface and knead briefly until smooth. Shape into a 10in round and place in the centre of a large, double-thickness sheet of oiled extra-thick foil."", ""Score the top of the bread in a criss-cross pattern and sprinkle with 1 tbsp of flour. Bring the edges of the foil together loosely to seal."", ""Place the foil parcel on to the barbecue rack and cook over medium-hot coals for 10 minutes on each side."", ""Open the foil parcel and fold back the edges. Sprinkle the top of the loaf with the cheese, spring onions and cayenne pepper and leave for another 5 minutes until the cheese has melted. Remove from the foil and serve cut into thick wedges.""]",american,side,vegetarian
Chicken And Broccoli Casserole,"[""Boil chicken breasts until meat starts to separate from bones. Remove breasts from stock."", ""Separate meat from bones; cut meat into 1-inch squares."", ""Spread meat over casserole dish."", ""Sprinkle broccoli over chicken."", ""Sprinkle dried beef over broccoli."", ""Mix can of chicken broth with cream of chicken soup and pour over broccoli."", ""Put pepper (bell) over top."", ""Mix dressing with chicken broth to moisten."", ""Spread over casserole; bake in 350\u00b0 oven for approximately 45 minutes, until dressing browns.""]",american,main,omnivorous
Lemon Squares,"[""In a smal mixer bowl beat butter or margarine until softened. Add 1/4 cup sugar and beat until fluffy."", ""Stir in 1 cup flour. Press dough onto the bottom of a greased 8 x 8 x 2-inch baking pan. Bake in a 350\u00b0 oven for 15 minutes."", ""Meanwhile, in the mixer bowl beat eggs."", ""Add 3/4 cup sugar, 2 tablespoons flour, lemon peel, lemon juice and baking powder."", ""Beat about 3 minutes or until slightly thickened."", ""Pour the lemon mixture over the baked layer. Return to the 350\u00b0 oven and bake for 25 to 30 minutes or until edges are light golden brown and center is set."", ""Cool."", ""If desired, sift powdered sugar over cookies."", ""Cut into squares."", ""Makes 16.""]",american,dessert,vegetarian
Ranger Cookies,"[""Sift flour, salt, baking soda, sugar and baking powder."", ""Add coconut, chopped nuts, oatmeal and brown sugar."", ""Work in butter. Add eggs and vanilla.""]",american,dessert,omnivorous
Stuffed Braised Manicotti Topped with Fresh Mozzarella,"[""Heat 1 tablespoon olive oil in saute pan."", ""Saute 2 teaspoons garlic, add ground pork and saute."", ""Add salami and heat through."", ""Stir in ricotta, diced mozzarella, parsley, and salt and pepper."", ""Use a pastry bag with no tip to stuff each manicotti with approximately 1/4 cup filling."", ""Heat remaining 1 tablespoon olive oil in saute pan."", ""Saute onion and remaining 2 teaspoons garlic."", ""Add tomatoes and their juice, salt and pepper, dried oregano and red wine."", ""Simmer about 30 minutes or until sauce is thickened and reduced to about 6 cups."", ""Stir in fresh basil."", ""Spread about 1 cup sauce on bottom of a hotel pan."", ""Arrange filled manicotti on top."", ""Cover with remaining sauce."", ""Bake uncovered about 20 minutes at 375F."", ""Remove from oven and top each pair of manicotti with 1 large slice of mozzarella."", ""Bake 5 minutes longer or until cheese melts."", ""Yield: 12 Servings.""]",italian,main,vegetarian
Country Cornbread,"[""Mix and beat all ingredients well."", ""Bake in greased pan or muffin tins."", ""Bake for 12 minutes or until brown at 475.""]",american,side,omnivorous
Orecchiette With Spicy Turkey Sausage And Broccoli Rabe,"[""Thinly slice green leaves of broccoli rabe, and cut stems into 2-inch pieces."", ""Bring 2 quarts water to a boil in a Dutch oven. Add pasta; cook 6 minutes. Add broccoli rabe leaves and stems; cook 5 minutes or until tender."", ""While pasta and broccoli rabe cook, remove casings from sausage. Heat a large nonstick skillet over medium-high heat. Coat pan with cooking spray. Add onion and garlic; saute 3 minutes or until tender. Add sausage; cook 7 minutes or until browned, stirring to crumble. Add broth and next 3 ingredients; bring to a boil. Drain pasta and broccoli rabe; stir hot cooked pasta, broccoli rabe, and tomatoes into sausage mixture; cook 1 minute or until thoroughly heated. Sprinkle with cheese; toss well."", ""Orecchiette (oh-ray-kee-EHT-tay), a pasta originally from the Puglia region, is named for its resemblance to \""little ears.\""""]",italian,main,omnivorous
Baked Beans,"[""Brown ground beef; mix all ingredients together."", ""Bake at 350\u00b0 for 45 minutes.""]",american,side,omnivorous
Grandma Tuzzolino'S Spedini,"[""Pound meat until thin."", ""Pieces should be 3 x 3-inches."", ""(You may use a small beef tenderloin roast, sliced thin."", ""It slices easily if partly frozen.)""]",italian,main,omnivorous
Cheeseburger Pie,"[""Preheat oven to 400\u00b0."", ""Lightly grease with shortening a 10 x 1/2-inch pie plate."", ""Cook crumbled beef and onion in skillet until brown, about 10 minutes. Drain, then stir in salt and pepper. Spread beef mixture in pie plate and sprinkle evenly with cheese. Beat milk, Bisquick and eggs until smooth."", ""Pour evenly into pie plate."", ""Bake until golden brown and knife inserted in center comes out clean, about 30 minutes."", ""Let stand 5 minutes before cutting. Garnish with pickle slice and catsup, if desired.""]",american,main,omnivorous
Squash Casserole,"[""Brown meat, squash and onions together with salt and pepper. Drain off juice."", ""Put in layers meat, cheese and oleo."", ""Pour in milk."", ""Place in 350\u00b0 oven until cheese is melted; brown if desired.""]",american,main,omnivorous
Pound Cake With Dulce De Leche Filling,"[""Preheat you oven to 350\u00b0F."", ""Cream butter and margarine with sugar."", ""While the butters and sugar cream mix in separated bowl flour an baking powder."", ""In an other bowl mix orange juice, vanilla and irich cream."", ""Pour egg yolks into the butter mixture, one at a time."", ""Mix in the dry ingredients and the wet ingredients alternating."", ""In a separate bowl, wisk the egg whites until they form soft peeks."", ""With a large spoon (wooden spoon or spatula) mix in the egg whites into the mixture."", ""Pour into the pan and bake for 40 to 50 minutes."", ""As soon as it comes out of the oven unmold it. (this will avoid over cooking)."", ""Let it cool for 30 mins, and divide it using a nylon thread."", ""The nylon thread technic, is very easy and accurate for us who are not too handy with the serrated knife. Just mark with toothpicks the midpoint on the side of your cake in 4 spots."", ""With a long string of nylon thread, holding it tight, place your right hand in one of the toothpicks and move the left hand around marks passing the thread thru the cake."", ""In a skillet toast the almonds for 5 mins, until they are crunchy."", ""Safe a 1/4 cup of dulce de leche and pour it onver one side of the cake"", ""sprinkle almonds over, and top it with the other side of the cake."", ""Enjoy.""]",latin american,dessert,omnivorous
Pomegranate & Spinach Persian Soup (?Sh ‘Eh Anar),"[""Heat 2 tablespoons of oil in a big nonstick pot and saute chopped onions over medium heat till golden. (Approximately 10 minutes.) Add split peas, 6-8 cups of filtered water, salt, pepper, and turmeric. Bring to a boil. Reduce heat and simmer (for around 15-20 minutes) until the split peas soften. Add rice and continue to cook for another 15 minutes. Stir occasionally to prevent sticking. Add the chopped greens and herbs and continue to cook for 10-15 minutes longer. Stir as needed. Add the pomegranate juice, simmer, covered, for 30-45 minutes."", ""To make the (optional) mini meatballs : mix 1/2 pound of ground meat with one grated onion; season with salt, pepper and 1/2 teaspoon of turmeric; knead well to mix. Make hazelnut-sized meatballs, roll meatballs in a thin layer of flour and saute briefly in hot oil in a pan. Add to the soup at the same time you add the pomegranate juice in step #2. (Alternatively: instead of meatballs, add cubed beets to the ?sh.)"", ""Once the ?sh is set to your liking, taste and adjust flavor: add sugar (anywhere from 2 tablespoons up to 1/3 cup to taste) or conversely, add more pomegranate syrup/juice to amp up the tart flavor. Your call. Traditionally, a tart (yet not sour) flavor is preferred. [NOTE: If the ?sh is too thick at any time throughout the process add a bit of water to dilute. Don't forget to stir occasionally throughout to prevent sticking.]"", ""Serve when hot and transfer soup into a big serving bowl. Just before serving, prepare the traditional (& heavnely) sauteed dried mint and garlic (na'na dagh) garnish: a) Heat 1 tablespoon of oil in a pan. Once oil sizzles, turn heat off completely, add the dried mint, and stir in the pan for just one minute. (Dried mint is prone to burning quickly, so that one minute is more than enough.) Remove mint from pan and set aside. b) In the same pan, heat another tablespoon of oil till sizzling hot. Add sliced garlic, stir, and saute for just around a minute. (Don't overdo it as garlic will lose its aroma.) Top serving bowl of pomegranate and spinach ?sh with a criss-cross pattern of the mint and garlic garnish. Decorate with a hanful of pomegrante arils if you wish. Enjoy and nush 'e jan!""]",persian,starter,vegetarian
Easy Flavourful Tri-Colour Rice Bowl,"[""Boil green beans in salted boiling water."", ""Transfer to a plate, drizzle mentsuyu noodle dipping sauce, and sprinkle white sesame seeds."", ""Break the eggs into a bowl, add mayonnaise, sugar, salt and pepper, and mix."", ""Heat oil in a frying pan, and pour in the egg mixture."", ""Adjust the heat so that it won't get scorched."", ""Stir well, and when it's done, transfer to a plate."", ""When you mix the mixture with a whisk, it becomes crumbly and fluffy."", ""When you use chopsticks, you will have larger pieces of scrambled eggs, and they are satisfying."", ""Pour oil in the pan, and add garlic and ginger."", ""When fragrant, add ground meat."", ""When the colour of the meat changes, add sugar first."", ""Then after 1 minute, add mirin and soy sauce."", ""Simmer over low heat to let the meat absorb the sauce."", ""Simmer until there is only a small amount of liquid left."", ""Put rice in a bowl, and pour over the sauce where the meat goes."", ""Place the green beans, eggs, and ground meat on top, then it's done.""]",asian,main,omnivorous
Cake Batter Cheesecake ,"[""1. Preheat your oven to 375 degrees."", ""2. With your mixer on low and with the paddle attachment, beat together the cream cheese, eggs, sweetened condensed milk, vanilla, and almond extract for five minutes. Switch to the whisk attachment and beat for another three minutes. The batter may have a few lumps left at the end, but that's okay."", ""3. Slowly mix in all the sprinkles with a spoon."", ""4. Pour the batter into a 9 inch spring form pan and bake for 40 minutes. Turn the oven off and let the cheesecake sit for an additional half hour."", ""5. Remove from the oven and at least four hours in the refrigerator.""]",american,dessert,vegetarian
Orange Baked Chicken,"[""Preheat oven to 400\u00b0."", ""Combine all ingredients except chicken. Place chicken in a 9 x 13-inch pan."", ""Pour marinade over chicken. Cover pan and bake for 45 minutes."", ""Uncover and continue baking until tender."", ""Baste several times with sauce."", ""Thicken remaining sauce in pan until consistency of gravy and spoon over chicken before serving.""]",american,main,omnivorous
Harissa Honey Chicken Wings,"[""Rub the spice mixture into the wing pieces until there is no powder left in the bottom of your bowl."", ""Cover and refrigerate for 1 hour, up to overnight."", ""Preheat your oven to 400 degrees and spray 2 sheet pans with baking spray."", ""Line your wings skin side down on the trays, leaving space between them so they dont steam."", ""Cook in the middle of the oven for 25 minutes or until the bottoms are crispy and the fat begins to render in the pan."", ""Flip them over, turn the oven up to 425 degrees and continue to cook for another 20-25 minutes until thoroughly cooked and crispy all over."", ""Watch them closely (every 5 minutes) as there will be a lot of fat in the pan and it can burn.""]",middle eastern,side,omnivorous
Microwave Toffee,"[""Sprinkle 1/2 cup pecans in a 9-inch circle on a greased sheet; set aside."", ""Coat top 2 inches of a 2 1/2 quart glass bowl with butter. Put rest in bowl."", ""Add sugar, salt and water."", ""Do not stir!"", ""Microwave at High 11 minutes or until light brown."", ""Pour over pecans."", ""Sprinkle on chocolate chips."", ""Sprinkle with the 1/4 cup other nuts."", ""Chill until firm."", ""Break into bite size pieces. Yields 1 pound.""]",american,dessert,omnivorous
Hometown Buffet Macaroni & Cheese (Copycat),"[""BOIL 3 quarts salt-free water in a 4-quart pot; ADD 2 cups uncooked elbow macaroni; SCRAPE bottom immediately with a wire whisk to avoid sticking; BOIL macaroni for 8-10 minutes."", ""POUR macaroni into colander in sink (remove all pasta from bottom of pot); RINSE macaroni and pot with cold water; ALLOW to drain."", ""RETURN empty pot to a new burner stovetop over medium-low heat; ADD 2 tablespoons margarine and allow to melt, then add 1 1/3 cups skim milk (or 50% milk with 50% water), 1/8 teaspoon white pepper, 1 pinch cayenne pepper, and 1 pinch garlic powder."", ""RAISE heat to medium until heated; ADD the contents of one (8 ounce) jar Cheez-Whiz (or half the contents of one 15-ounce jar), scraping all contents from jar using a flexible spatula; ADD 8 ounces shredded medium cheddar cheese."", ""WHISK mixture often without letting mixture boil, until thickened and glossy in appearance."", ""ADD rinsed drained macaroni; FOLD mixture together until well-blended."", ""POUR mixture into greased 8 x 8 baking dish."", ""BAKE at 300\u00b0F for 15 minutes."", ""REMOVE from oven with oven mitts; SPRINKLE top with 1/3 cup shredded medium cheddar cheese; ALLOW to set just long enough for the cheese to melt."", ""SERVE and enjoy.""]",american,side,vegetarian
Hot Mexican Beef Salad,"[""Brown meat; drain."", ""Add onion; cook until tender."", ""Stir in beans, dressing, water and chili powder."", ""Simmer 15 minutes. Combine lettuce and green onion."", ""Add meat mixture and 1 1/2 cups cheese; mix lightly."", ""Top with remaining cheese."", ""Makes 4 to 6 servings.""]",mexican,main,omnivorous
Citrus-cranberry sparkler,"[""Empty mineral water into larger pitcher."", ""Add cranberry juice and fruit slices."", ""Serve over ice."", ""ENJOY!""]",american,beverage,vegan
Oatmeal Bread,"[""Sift flour, cornmeal, salt, baking powder and sugar."", ""Add oatmeal, then add beaten egg, melted shortening and milk."", ""Bake in a greased loaf pan (large) at 350\u00b0 for about 45 minutes."", ""Insert toothpick in center to see if done."", ""If not, lower to 300\u00b0 to complete baking cycle.""]",american,side,vegetarian
Cretan Chorta Salad With Apaki ( Smoked Pork ),"[""Finely chop the salad greens and put in a large bowl. Add the tomato and cucumber."", ""Mix together. Sprinkle generously with olive oil. Add lemon juice ."", ""Season with salt and pepper and toss together gently. Empty the salad onto a serving dish and sprinkle with crumbled feta cheese ( optional )""]",cretan,side,omnivorous
Pafford'S Bean Dip,"[""Blend everything except the grated cheese in a blender. Pour into baking dish"", ""and"", ""bake"", ""at"", ""350\u00b0 until grated cheese topping is melted."", ""Garnish"", ""with"", ""sour"", ""cream and green onion pieces. Add a whole"", ""black"", ""olive"", ""or 3."", ""Serve with Tostitos for dipping.""]",tex-mex,side,vegetarian
Chef Dave Klein's Fab Crab Cakes,"[""Pick through crab to remove any shell fragments that may be left behind."", ""Saute onion and celery until transparent in a tablespoon of canola or vegetable oil."", ""Cool."", ""Mix crab, onion, celery, thyme leaves, lemon juice, mayonnaise, salt, pepper, Tabasco and 1/4 cup of bread crumbs."", ""Fold very lightly, making sure not to break up the crab meat (I broke up about 3/4 of the crab SLIGHTLY because these cakes are about 90% crab)."", ""Having nice chunks within the cooked cakes is a big plus."", ""Form cakes and place on a tray."", ""Refrigerate for two hours."", ""Mix 1/2 cup each of fresh bread crumbs and flour."", ""Coat crab cakes."", ""Heat 4 tablespoons oil and 2 tablespoons butter in a large pan."", ""Add crab cakes to hot pan and saute for three minutes per side."", ""Remove to paper towels and serve hot with your favorite remoulade or other sauce.""]",american,main,omnivorous
Taco Meat Loaves,"[""In a large bowl, combine the eggs, 1/2 cup picante sauce, beans, corn, onion, olives, bread crumbs, taco seasoning, cumin, and chili powder."", ""Crumble beef over mixture and mix well."", ""Pat into 2 ungreased 9x5x3-inch loaf pans and bake, uncovered, at 350F for 50-55 minutes or until no pink remains and a meat thermometer reads 160F."", ""Spoon remaining picante sauce over each meat loaf and sprinkle with cheese."", ""Bake another 10-15 minutes or until cheese is melted."", ""Let stand for 10 minutes before slicing."", ""Serve with additional picante sauce, if desired.""]",mexican,main,omnivorous
Santa Fe Falafel,"[""Rinse and drain beans and mash with a fork or potato masher until a fine puree forms. Add cheese, finely crushed tortilla chips, minced scallions, finely chopped bell pepper, finely chopped cilantro, crushed garlic, seasoning, and egg white."", ""Stir until well combined."", ""Shape 1/4 cupfuls into 8 (3-inch) patties."", ""Spray a non-stick griddle or large skillet with Pam cooking spray and heat over medium heat. Cook falafel 2 to 3 minutes per side, until browned and heated through."", ""Place a falafel in each pita with a slice each of onion and tomato, and shredded lettuce."", ""Mix sour cream, lime zest and lime juice and add a dollop to your falafel.""]",middle eastern,main,vegan
Soda Bread,"[""Preheat the oven to 425 degrees F."", ""In a large bowl, whisk together the flours, baking soda, oats and salt."", ""Pour in most of the buttermilk and mix well, adding more buttermilk, if needed, to form a soft dough."", ""Turn out onto a floured surface and lightly knead into a shapeable dough."", ""Avoid overworking the dough."", ""Shape the dough into a round disk shaped loaf and cut a deep \""X\"" in the top with a sharp knife."", ""Put the dough on a parchment lined baking sheet and bake for 7 minutes at 425 degrees F. Lower the oven temperature to 375 degrees F and bake another 20 to 25 minutes."", ""Remove the bread from the oven to a cutting board."", ""Cool slightly before cutting and enjoy warm!""]",irish,side,vegetarian
Easy Key Lime Pie,"[""Mix all ingredients together and pour into pie shell."", ""Freeze until firm.""]",american,dessert,omnivorous
Cider Cooked Chicken,"[""Wash and dry chicken."", ""Sprinkle inside and out with salt and pepper."", ""Sprinkle apples with lemon juice."", ""Heat 1/2 the butter and all the oil in heavy skillet."", ""Add 1/2 the apples."", ""Saute 5 minutes, until browned."", ""Add ginger."", ""Stuff chicken with apples; tie or skewer chicken cavity closed."", ""Add remaining butter to pan. Brown chicken slowly on all sides."", ""Place chicken in heavy casserole with lid."", ""Add uncooked apples, green onions, thyme, cinnamon (if used), cloves and sugar to skillet."", ""Saute 2 minutes. Add cider; heat to boiling."", ""Pour over chicken.""]",american,main,omnivorous
Saucy Cocktail Meatballs,"[""Place meatballs in a 3-qt. slow cooker. In a small bowl, combine the remaining ingredients. Pour over meatballs."", ""Cover and cook on low for 3-4 hours or until heated through.""]",american,starter,omnivorous
Low-Fat Marinated Vegetable Salad,"[""Combine frozen vegetables and chickpeas in a bowl."", ""In a jar with a tight fitting lid, shake the salad dressing, juice, concentrate, oil, vinegar, lemon juice, garlic and pepper to mix well."", ""Pour over vegetable-bean mixture."", ""Mix well."", ""Let marinate a few hours in refrigerator."", ""Arrange salad over lettuce leaves. Serve chilled.""]",american,side,vegan
Quick and Easy Sambhar My Mother's Style,"[""Take a pressure cooker and pour the water in it."", ""Put all the veggies (except the drum sticks and the leaves) turmeric salt and the asafoetida."", ""Pressure cook until one whistle or for 10 minutes."", ""Let it cool down."", ""Remove the lid and put it back on fire."", ""Add in the drumsticks."", ""When the drumsticks are cooked, add the tamarind pulp, chili powder and coriander powder-- add water as per the consistency required."", ""Let it boil for 5 6 minutes, remove and keep aside."", ""Heat oil in a small wok-- and crackle mustard, throw in the curry leaves and dried red chillies, pour this over the sambhar."", ""Garnish with fresh cilantro-- Serve with steamed rice-- and of course with idlis!""]",indian,main,vegetarian
Macaroni Goulash,"[""Cook macaroni firm as directed."", ""Brown turkey and onion together in 4-quart pot."", ""Drain."", ""Add stewed tomatoes, oregano, garlic, ketchup and salt."", ""Simmer 20 minutes."", ""Add macaroni and simmer 10 minutes more."", ""Serve with salad.""]",american,main,omnivorous
Sweet-N-Sour Meatballs,"[""Mix hamburg, bread crumbs, milk, chopped onion, salt, Worcestershire sauce and egg."", ""Shape into 20 (1 1/2-inch) balls. Cook meatballs in skillet; remove and drain fat."", ""Mix brown sugar and cornstarch in skillet."", ""Stir in pineapple (with syrup), vinegar and soy sauce."", ""Heat to boiling, stirring."", ""Reduce heat; add meatballs."", ""Cover and simmer, stirring occasionally, 10 minutes."", ""Stir in green pepper and cherries (without syrup). Cover and simmer until crisp-tender, 5 minutes."", ""Makes 4 servings.""]",american,main,omnivorous
Chicken-Mango Chopped Salad,"[""Whisk together first 8 ingredients in a small bowl."", ""Combine chicken and remaining ingredients in a large bowl. Add dressing, tossing to coat. Serve immediately.""]",american,side,omnivorous
Ham And Herb Terrine,"[""Soak the gelatin in cold water for 10 mins. Meanwhile, bring the vegetable stock to a boil then strain through a fine-holed sieve into a heatproof bowl. Remove the gelatin from the cold water, add to the hot stock and stir until dissolved. Leave to cool for 10-15 mins. Boil the diced carrots in a pan of simmering water for 4-5 mins until tender. Drain and refresh under cold running water. mix with the capers and chopped herbs."", ""Sprinkle a 2 lb loaf pan (8.5 x 4.5bx 2.5 inch) with cold water then line the base and up the sides with plastic wrap. Place a layer of sliced ham in the base of the pan, cutting the slices to fit if needed. Scatter over some of the carrot and herb mix then spoon over a layer of the stock to just cover. Place the pan in the freezer for about 10 mins or until the gelatin has just set."", ""Layer the ham, carrot mixture and stock until everything has been used up. You will have about 6 layers of ham. Place the pan in the fridge and chill overnight until completely set. Gently turn out onto a platter and served garnished with the chervil sprigs.""]",french,starter,omnivorous
Basil And Sun-Dried Tomato Dip,"[""Stir the sour cream, mayonnaise, and lemon juice together in a bowl; whisk the tomatoes and basil through the sour cream mixture. Season with salt and pepper. Cover the bowl with plastic wrap and chill in refrigerator at least 1 hour.""]",italian,starter,omnivorous
